Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
7.668,8.605,6.802,7.876
6.937,7.427,5.963,6.516
6.577,6.821,5.569,5.836
6.664,6.594,5.681,5.581
5.127,6.197,3.945,5.134
5.31,6.094,4.106,5.018
5.342,6.048,4.182,4.965
5.569,5.959,4.426,4.864
5.815,5.809,4.705,4.696
6.428,5.721,5.374,4.592
5.053,5.648,3.827,4.506
6.202,5.566,5.144,4.417
6.262,5.516,5.183,4.356
5.595,5.509,4.431,4.345
5.441,5.421,4.246,4.249
5.583,5.307,4.421,4.115
4.618,5.196,3.357,3.991
4.379,5.143,3.055,3.932
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
7.668,8.605,6.802,7.876
6.937,7.427,5.963,6.516
6.577,6.821,5.569,5.836
