Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
7.668,8.605,6.802,7.876
6.937,7.427,5.963,6.516
6.577,6.821,5.569,5.836
6.664,6.594,5.681,5.581
5.127,6.197,3.945,5.134
5.31,6.094,4.106,5.018
5.342,6.048,4.182,4.965
5.569,5.959,4.426,4.864
5.815,5.809,4.705,4.696
6.428,5.721,5.374,4.592
5.053,5.648,3.827,4.506
6.202,5.566,5.144,4.417
6.262,5.516,5.183,4.356
5.595,5.509,4.431,4.345
5.441,5.421,4.246,4.249
5.583,5.307,4.421,4.115
4.618,5.196,3.357,3.991
4.379,5.143,3.055,3.932
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
7.668,8.605,6.802,7.876
6.937,7.427,5.963,6.516
6.577,6.821,5.569,5.836
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
7.872,8.614,7.028,7.887
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
7.872,8.614,7.028,7.887
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
7.872,8.614,7.028,7.887
6.913,7.567,5.931,6.68
6.774,6.916,5.799,5.944
6.702,6.667,5.723,5.664
5.062,6.292,3.886,5.242
5.41,6.161,4.229,5.094
5.244,6.08,4.078,5.001
5.518,6.013,4.359,4.922
5.802,5.855,4.699,4.747
6.812,5.771,5.803,4.648
5.131,5.674,3.911,4.536
6.203,5.615,5.126,4.471
6.643,5.519,5.606,4.357
5.533,5.549,4.376,4.393
5.19,5.463,3.973,4.298
5.552,5.351,4.379,4.166
4.753,5.232,3.491,4.032
4.186,5.178,2.837,3.971
4.0,5.202,2.633,3.995
4.217,5.299,2.893,4.107
5.676,5.212,4.537,4.006
5.501,5.175,4.347,3.964
4.841,5.159,3.589,3.945
4.281,5.1,2.958,3.877
5.868,5.185,4.733,3.976
4.866,4.983,3.644,3.746
5.004,4.878,3.776,3.627
4.752,5.075,3.484,3.85
5.174,4.894,3.95,3.641
5.668,5.148,4.515,3.931
4.872,4.856,3.593,3.596
5.014,5.023,3.764,3.786
4.448,4.942,3.114,3.691
3.959,5.0,2.56,3.763
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
4.568,4.859,3.261,3.601
4.29,4.514,2.954,3.208
4.778,4.355,3.5,3.021
4.11,4.428,2.709,3.106
4.006,4.505,2.646,3.189
3.918,4.461,2.519,3.139
3.923,4.49,2.514,3.172
5.307,4.449,4.124,3.129
4.256,4.409,2.879,3.077
3.822,4.487,2.398,3.167
6.218,4.391,5.137,3.06
4.334,4.358,2.997,3.017
6.132,4.498,5.022,3.18
6.309,4.408,5.234,3.077
4.574,4.278,3.256,2.925
