Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
9.554,11.191,9.076,10.915
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
9.554,11.191,9.076,10.915
8.274,8.829,7.559,8.217
7.569,8.198,6.73,7.45
8.039,7.946,7.243,7.145
6.908,7.657,5.977,6.812
6.842,7.624,5.9,6.771
6.674,7.512,5.716,6.642
7.213,7.454,6.315,6.577
7.018,7.274,6.091,6.374
7.797,7.213,6.95,6.305
6.774,7.131,5.812,6.209
7.413,7.072,6.529,6.146
7.559,6.98,6.682,6.04
7.007,6.901,6.06,5.949
6.218,6.793,5.176,5.828
6.983,6.712,6.029,5.736
6.571,6.557,5.576,5.56
5.71,6.512,4.606,5.507
5.491,6.501,4.361,5.493
5.718,6.554,4.625,5.551
6.3,6.484,5.253,5.473
7.133,6.377,6.179,5.349
6.107,6.363,5.036,5.333
5.324,6.294,4.164,5.254
6.712,6.325,5.707,5.288
5.986,6.187,4.916,5.132
6.256,6.036,5.23,4.96
6.197,6.191,5.129,5.133
6.165,6.033,5.094,4.954
6.853,6.232,5.863,5.179
5.921,5.996,4.821,4.913
6.115,6.068,5.051,4.994
5.58,5.98,4.424,4.89
5.448,6.027,4.286,4.945
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
6.095,6.008,5.015,4.923
5.338,5.844,4.176,4.738
6.165,5.705,5.116,4.575
4.829,5.702,3.593,4.572
5.328,5.806,4.165,4.69
5.168,5.687,3.966,4.55
4.741,5.703,3.462,4.571
6.177,5.691,5.113,4.554
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
6.095,5.932,5.016,4.839
5.338,5.844,4.176,4.738
6.165,5.705,5.116,4.576
4.829,5.702,3.593,4.572
5.33,5.806,4.167,4.69
5.168,5.687,3.966,4.551
4.739,5.703,3.46,4.571
6.174,5.691,5.11,4.554
